invoiceno,invoicedate
536759,2010-12-02 14:26:00
537215,2010-12-05 15:38:00
554116,2011-05-22 15:12:00
554125,2011-05-23 08:52:00
554712,2011-05-26 10:43:00
563938,2011-08-22 09:21:00
571670,2011-10-18 13:12:00
C563716,2011-08-18 16:14:00
571435,2011-10-17 13:23:00
536967,2010-12-03 12:57:00
C554338,2011-05-23 17:29:00
571657,2011-10-18 12:44:00
545229,2011-03-01 09:52:00
537037,2010-12-05 10:03:00
C563599,2011-08-18 06:22:00
563706,2011-08-18 14:48:00
545331,2011-03-01 15:49:00
563764,2011-08-19 11:15:00
536832,2010-12-02 17:41:00
536488,2010-12-01 12:31:00
563638,2011-08-18 10:36:00
563903,2011-08-21 11:15:00
555108,2011-05-31 14:18:00
572477,2011-10-24 13:39:00
563476,2011-08-16 15:22:00
563545,2011-08-17 12:20:00
563384,2011-08-16 10:52:00
563722,2011-08-18 16:32:00
536613,2010-12-02 09:44:00
564062,2011-08-22 14:41:00
545582,2011-03-04 09:05:00
555156,2011-06-01 07:37:00
555195,2011-06-01 11:27:00
545227,2011-03-01 09:35:00
536998,2010-12-03 15:30:00
C563221,2011-08-14 14:23:00
554834,2011-05-26 15:35:00
C554517,2011-05-24 16:55:00
C554873,2011-05-27 11:00:00
571324,2011-10-17 11:08:00
545237,2011-03-01 10:38:00
544821,2011-02-24 09:05:00
537044,2010-12-05 10:52:00
536555,2010-12-01 14:37:00
536401,2010-12-01 11:21:00
536616,2010-12-02 10:10:00
536941,2010-12-03 12:08:00
554937,2011-05-27 13:32:00
536408,2010-12-01 11:41:00
572232,2011-10-21 14:41:00
554432,2011-05-24 12:16:00
545224,2011-03-01 09:03:00
555147,2011-05-31 15:41:00
545081,2011-02-28 10:35:00
545526,2011-03-03 13:14:00
545570,2011-03-03 16:28:00
536765,2010-12-02 14:43:00
C536506,2010-12-01 12:38:00
571463,2011-10-17 14:23:00
563915,2011-08-21 13:24:00
545053,2011-02-27 12:41:00
C545532,2011-03-03 13:57:00
571292,2011-10-16 15:45:00
C563536,2011-08-17 11:39:00
536736,2010-12-02 12:59:00
564079,2011-08-22 15:55:00
563245,2011-08-15 10:54:00
572186,2011-10-21 10:55:00
572352,2011-10-24 11:39:00
C554345,2011-05-23 17:47:00
563443,2011-08-16 13:26:00
545563,2011-03-03 16:13:00
544802,2011-02-23 13:57:00
555005,2011-05-31 09:38:00
536393,2010-12-01 10:37:00
572030,2011-10-20 11:51:00
536747,2010-12-02 13:44:00
C554870,2011-05-27 10:57:00
571658,2011-10-18 12:48:00
C555244,2011-06-01 14:11:00
563743,2011-08-19 09:23:00
554163,2011-05-23 11:52:00
571936,2011-10-20 09:04:00
545554,2011-03-03 15:12:00
C572455,2011-10-24 12:41:00
572283,2011-10-23 11:42:00
554683,2011-05-25 16:09:00
572513,2011-10-24 14:36:00
572475,2011-10-24 13:37:00
C554331,2011-05-23 17:13:00
C554687,2011-05-25 16:49:00
545027,2011-02-25 14:59:00
564042,2011-08-22 12:52:00
537011,2010-12-03 15:38:00
554284,2011-05-23 14:14:00
536528,2010-12-01 13:17:00
571687,2011-10-18 14:23:00
571709,2011-10-18 15:52:00
536538,2010-12-01 13:54:00
571443,2011-10-17 13:43:00
536382,2010-12-01 09:45:00
571883,2011-10-19 13:58:00
536793,2010-12-02 15:39:00
572537,2011-10-24 16:09:00
C554926,2011-05-27 12:59:00
536676,2010-12-02 12:18:00
544822,2011-02-24 09:08:00
571297,2011-10-16 16:25:00
554940,2011-05-27 13:49:00
554837,2011-05-26 16:30:00
536846,2010-12-02 19:59:00
545426,2011-03-02 14:41:00
554978,2011-05-29 11:05:00
554547,2011-05-25 09:37:00
C554685,2011-05-25 16:30:00
536864,2010-12-03 11:27:00
554825,2011-05-26 14:45:00
536781,2010-12-02 15:14:00
554935,2011-05-27 13:30:00
C572489,2011-10-24 13:59:00
571594,2011-10-18 10:51:00
554543,2011-05-25 09:18:00
545235,2011-03-01 10:31:00
572516,2011-10-24 14:45:00
555025,2011-05-31 11:21:00
554816,2011-05-26 14:01:00
545052,2011-02-27 12:27:00
554967,2011-05-27 16:23:00
571717,2011-10-18 17:10:00
563936,2011-08-22 09:03:00
536608,2010-12-02 09:37:00
545326,2011-03-01 15:12:00
C563225,2011-08-14 14:35:00
572315,2011-10-23 16:00:00
571895,2011-10-19 14:14:00
571430,2011-10-17 12:51:00
537034,2010-12-03 17:20:00
545301,2011-03-01 12:26:00
554161,2011-05-23 11:49:00
554263,2011-05-23 12:32:00
555270,2011-06-01 16:23:00
554947,2011-05-27 14:29:00
537223,2010-12-05 16:10:00
554465,2011-05-24 12:36:00
536587,2010-12-01 16:33:00
571935,2011-10-20 08:41:00
544804,2011-02-23 14:40:00
545635,2011-03-04 12:14:00
563204,2011-08-14 11:49:00
554684,2011-05-25 16:28:00
564056,2011-08-22 14:13:00
544909,2011-02-24 14:32:00
564039,2011-08-22 12:40:00
C537043,2010-12-05 10:48:00
571595,2011-10-18 10:52:00
536995,2010-12-03 15:29:00
C572491,2011-10-24 14:02:00
554306,2011-05-23 14:59:00
554960,2011-05-27 15:18:00
572217,2011-10-21 13:03:00
554130,2011-05-23 09:42:00
C563223,2011-08-14 14:30:00
554570,2011-05-25 10:53:00
563450,2011-08-16 14:33:00
536582,2010-12-01 16:21:00
563468,2011-08-16 14:55:00
563930,2011-08-21 15:43:00
555260,2011-06-01 15:34:00
545310,2011-03-01 13:45:00
563729,2011-08-18 17:39:00
554698,2011-05-26 08:38:00
564059,2011-08-22 14:35:00
537038,2010-12-05 10:12:00
536845,2010-12-02 19:18:00
572301,2011-10-23 14:41:00
537205,2010-12-05 14:52:00
563426,2011-08-16 11:38:00
571864,2011-10-19 13:49:00
536590,2010-12-01 16:52:00
563843,2011-08-19 14:02:00
563259,2011-08-15 12:19:00
545029,2011-02-25 15:27:00
555203,2011-06-01 12:13:00
554545,2011-05-25 09:35:00
554162,2011-05-23 11:52:00
571668,2011-10-18 13:10:00
545290,2011-03-01 12:01:00
545601,2011-03-04 11:49:00
554351,2011-05-24 08:53:00
554677,2011-05-25 16:03:00
545564,2011-03-03 16:13:00
C555256,2011-06-01 15:21:00
571642,2011-10-18 12:07:00
563447,2011-08-16 14:25:00
554700,2011-05-26 09:18:00
536797,2010-12-02 15:49:00
545221,2011-03-01 08:35:00
571853,2011-10-19 13:23:00
536841,2010-12-02 18:27:00
C536383,2010-12-01 09:49:00
572399,2011-10-24 11:56:00
571412,2011-10-17 12:33:00
571728,2011-10-19 09:18:00
C554518,2011-05-24 16:58:00
C545189,2011-02-28 15:19:00
C563595,2011-08-18 06:15:00
555012,2011-05-31 10:43:00
571554,2011-10-18 09:13:00
536612,2010-12-02 09:44:00
572221,2011-10-21 13:27:00
563499,2011-08-16 17:06:00
571903,2011-10-19 14:40:00
572320,2011-10-24 08:48:00
545087,2011-02-28 11:46:00
C563591,2011-08-18 06:10:00
545666,2011-03-04 15:33:00
537219,2010-12-05 15:47:00
571305,2011-10-17 09:55:00
572541,2011-10-24 16:20:00
545304,2011-03-01 12:51:00
536593,2010-12-01 17:15:00
555161,2011-06-01 09:26:00
545598,2011-03-04 11:16:00
572306,2011-10-23 15:11:00
545073,2011-02-28 09:26:00
554943,2011-05-27 14:10:00
571405,2011-10-17 12:12:00
563358,2011-08-15 14:51:00
564132,2011-08-23 10:56:00
536568,2010-12-01 15:28:00
544833,2011-02-24 10:10:00
536641,2010-12-02 11:46:00
572348,2011-10-24 11:21:00
C564138,2011-08-23 11:36:00
571549,2011-10-18 08:12:00
571926,2011-10-19 16:41:00
563692,2011-08-18 13:01:00
C545458,2011-03-02 17:19:00
563690,2011-08-18 12:53:00
572212,2011-10-21 12:25:00
554128,2011-05-23 09:26:00
572540,2011-10-24 16:17:00
571476,2011-10-17 14:51:00
537194,2010-12-05 13:53:00
537008,2010-12-03 15:37:00
C572485,2011-10-24 13:50:00
544931,2011-02-24 18:59:00
572288,2011-10-23 12:28:00
563532,2011-08-17 11:04:00
563905,2011-08-21 11:43:00
536866,2010-12-03 11:28:00
536740,2010-12-02 13:08:00
545402,2011-03-02 12:07:00
563465,2011-08-16 14:55:00
537159,2010-12-05 13:17:00
563362,2011-08-15 16:13:00
C554715,2011-05-26 11:02:00
537192,2010-12-05 13:42:00
563504,2011-08-17 09:16:00
554549,2011-05-25 09:57:00
536996,2010-12-03 15:30:00
572052,2011-10-20 12:26:00
545315,2011-03-01 14:14:00
536634,2010-12-02 11:21:00
545586,2011-03-04 09:44:00
554381,2011-05-24 11:46:00
537052,2010-12-05 11:15:00
572341,2011-10-24 10:36:00
554301,2011-05-23 14:46:00
545448,2011-03-02 16:35:00
564052,2011-08-22 13:40:00
554656,2011-05-25 13:36:00
572547,2011-10-24 17:01:00
536619,2010-12-02 10:18:00
554534,2011-05-24 17:34:00
572094,2011-10-20 14:52:00
572183,2011-10-21 10:50:00
545185,2011-02-28 15:04:00
536394,2010-12-01 10:39:00
C571902,2011-10-19 14:39:00
563705,2011-08-18 14:33:00
536698,2010-12-02 12:28:00
564054,2011-08-22 13:55:00
545566,2011-03-03 16:14:00
C545432,2011-03-02 15:15:00
572193,2011-10-21 11:33:00
555015,2011-05-31 10:45:00
554917,2011-05-27 12:29:00
572292,2011-10-23 12:56:00
537128,2010-12-05 12:15:00
555116,2011-05-31 15:16:00
554277,2011-05-23 13:20:00
536990,2010-12-03 15:14:00
572229,2011-10-21 14:23:00
563575,2011-08-17 15:05:00
554938,2011-05-27 13:34:00
536575,2010-12-01 16:01:00
554815,2011-05-26 13:46:00
572423,2011-10-24 12:02:00
545401,2011-03-02 12:03:00
C554330,2011-05-23 17:08:00
536745,2010-12-02 13:38:00
545162,2011-02-28 13:35:00
554868,2011-05-27 10:52:00
536690,2010-12-02 12:25:00
571690,2011-10-18 14:32:00
545294,2011-03-01 12:07:00
563436,2011-08-16 12:32:00
571629,2011-10-18 11:18:00
536685,2010-12-02 12:23:00
572185,2011-10-21 10:52:00
563736,2011-08-18 18:21:00
572061,2011-10-20 12:53:00
537204,2010-12-05 14:45:00
563626,2011-08-18 10:31:00
554906,2011-05-27 11:41:00
545341,2011-03-02 09:03:00
C545639,2011-03-04 12:28:00
C536816,2010-12-02 17:06:00
C563602,2011-08-18 06:26:00
537111,2010-12-05 12:08:00
572078,2011-10-20 14:10:00
545415,2011-03-02 13:03:00
545411,2011-03-02 12:21:00
554415,2011-05-24 12:10:00
572048,2011-10-20 12:21:00
571509,2011-10-17 15:28:00
545163,2011-02-28 13:39:00
536783,2010-12-02 15:19:00
563213,2011-08-14 12:55:00
545461,2011-03-03 08:24:00
536969,2010-12-03 13:10:00
C545569,2011-03-03 16:25:00
572239,2011-10-21 15:15:00
564088,2011-08-23 09:38:00
571929,2011-10-19 16:47:00
536777,2010-12-02 15:00:00
C554847,2011-05-26 19:56:00
545036,2011-02-25 17:25:00
563238,2011-08-15 09:59:00
C555013,2011-05-31 10:44:00
554808,2011-05-26 13:01:00
554650,2011-05-25 12:54:00
536576,2010-12-01 16:11:00
571726,2011-10-19 09:00:00
C571699,2011-10-18 14:51:00
563738,2011-08-18 19:13:00
571698,2011-10-18 14:50:00
554617,2011-05-25 11:21:00
563214,2011-08-14 12:56:00
572454,2011-10-24 12:38:00
545591,2011-03-04 10:28:00
545338,2011-03-01 17:32:00
563700,2011-08-18 13:55:00
536601,2010-12-02 08:33:00
571894,2011-10-19 14:13:00
571730,2011-10-19 09:48:00
545521,2011-03-03 12:30:00
545524,2011-03-03 12:53:00
554315,2011-05-23 15:29:00
555119,2011-05-31 15:22:00
564038,2011-08-22 12:32:00
C571473,2011-10-17 14:38:00
554966,2011-05-27 16:17:00
554350,2011-05-24 08:51:00
563501,2011-08-16 17:27:00
563432,2011-08-16 12:12:00
564136,2011-08-23 11:16:00
555149,2011-05-31 15:49:00
536848,2010-12-03 09:39:00
C536760,2010-12-02 14:29:00
563898,2011-08-21 10:48:00
563688,2011-08-18 12:41:00
545660,2011-03-04 14:28:00
C572531,2011-10-24 15:57:00
545181,2011-02-28 14:45:00
554861,2011-05-27 10:29:00
545213,2011-02-28 16:36:00
572294,2011-10-23 13:10:00
563697,2011-08-18 13:44:00
536560,2010-12-01 15:00:00
554974,2011-05-27 17:14:00
572533,2011-10-24 16:06:00
571943,2011-10-20 10:10:00
571831,2011-10-19 12:01:00
555112,2011-05-31 14:48:00
536527,2010-12-01 13:04:00
554164,2011-05-23 11:58:00
C572467,2011-10-24 13:29:00
536884,2010-12-03 11:42:00
571918,2011-10-19 16:05:00
544808,2011-02-23 15:11:00
555093,2011-05-31 13:15:00
555199,2011-06-01 12:05:00
C572022,2011-10-20 10:58:00
564135,2011-08-23 11:12:00
545412,2011-03-02 12:24:00
563850,2011-08-19 15:06:00
536786,2010-12-02 15:23:00
544904,2011-02-24 13:46:00
537137,2010-12-05 12:43:00
C572228,2011-10-21 14:03:00
555257,2011-06-01 15:28:00
554810,2011-05-26 13:16:00
563707,2011-08-18 14:53:00
554795,2011-05-26 12:46:00
C545444,2011-03-02 16:24:00
571665,2011-10-18 12:59:00
537042,2010-12-05 10:45:00
C555252,2011-06-01 15:13:00
545571,2011-03-03 16:34:00
545667,2011-03-04 16:07:00
555104,2011-05-31 14:02:00
C572118,2011-10-20 19:21:00
C571678,2011-10-18 13:33:00
545127,2011-02-28 12:04:00
572076,2011-10-20 14:01:00
536630,2010-12-02 10:56:00
C555254,2011-06-01 15:17:00
C571907,2011-10-19 14:55:00
537131,2010-12-05 12:26:00
554993,2011-05-29 14:13:00
571890,2011-10-19 14:05:00
536852,2010-12-03 09:51:00
536609,2010-12-02 09:41:00
554827,2011-05-26 15:19:00
571460,2011-10-17 14:06:00
545419,2011-03-02 14:16:00
563747,2011-08-19 10:05:00
554508,2011-05-24 15:33:00
563353,2011-08-15 14:32:00
563260,2011-08-15 12:22:00
572340,2011-10-24 10:36:00
555111,2011-05-31 14:37:00
545316,2011-03-01 14:14:00
554669,2011-05-25 15:31:00
C554300,2011-05-23 14:33:00
545429,2011-03-02 14:46:00
536942,2010-12-03 12:08:00
554352,2011-05-24 08:57:00
572034,2011-10-20 12:00:00
536739,2010-12-02 13:08:00
555198,2011-06-01 11:52:00
537153,2010-12-05 13:03:00
554855,2011-05-27 09:48:00
554320,2011-05-23 15:32:00
554362,2011-05-24 10:17:00
572107,2011-10-20 17:13:00
563365,2011-08-16 08:50:00
537021,2010-12-03 15:43:00
563727,2011-08-18 17:04:00
554655,2011-05-25 13:35:00
545348,2011-03-02 10:49:00
C571634,2011-10-18 11:34:00
571712,2011-10-18 16:46:00
564016,2011-08-22 11:44:00
C544827,2011-02-24 09:45:00
563911,2011-08-21 12:39:00
554817,2011-05-26 14:08:00
545590,2011-03-04 10:24:00
545597,2011-03-04 10:58:00
572244,2011-10-21 15:54:00
563906,2011-08-21 11:50:00
563728,2011-08-18 17:09:00
C563577,2011-08-17 15:06:00
C545531,2011-03-03 13:45:00
563650,2011-08-18 10:43:00
C572456,2011-10-24 12:44:00
571729,2011-10-19 09:43:00
563932,2011-08-21 15:50:00
572055,2011-10-20 12:34:00
C554486,2011-05-24 13:25:00
572464,2011-10-24 13:08:00
C545440,2011-03-02 16:03:00
C572535,2011-10-24 16:07:00
572543,2011-10-24 16:24:00
537030,2010-12-03 16:44:00
545585,2011-03-04 09:32:00
536577,2010-12-01 16:13:00
C537024,2010-12-03 16:21:00
572338,2011-10-24 10:30:00
545038,2011-02-27 10:13:00
572203,2011-10-21 12:05:00
545306,2011-03-01 13:04:00
554510,2011-05-24 15:51:00
554282,2011-05-23 14:01:00
563555,2011-08-17 13:21:00
554976,2011-05-29 10:57:00
544799,2011-02-23 13:45:00
C572299,2011-10-23 14:35:00
572099,2011-10-20 15:43:00
571667,2011-10-18 13:04:00
572274,2011-10-21 16:48:00
C554539,2011-05-24 17:47:00
536558,2010-12-01 14:48:00
564140,2011-08-23 11:47:00
554515,2011-05-24 16:25:00
563851,2011-08-19 15:06:00
572335,2011-10-24 10:27:00
544940,2011-02-25 10:19:00
545399,2011-03-02 11:48:00
563561,2011-08-17 14:02:00
563691,2011-08-18 12:53:00
571987,2011-10-20 10:47:00
C536820,2010-12-02 17:14:00
554363,2011-05-24 10:19:00
536811,2010-12-02 16:51:00
545295,2011-03-01 12:09:00
544911,2011-02-24 15:01:00
563540,2011-08-17 12:04:00
536569,2010-12-01 15:35:00
C536814,2010-12-02 17:03:00
C572112,2011-10-20 19:13:00
545026,2011-02-25 14:51:00
545654,2011-03-04 13:46:00
536989,2010-12-03 15:10:00
571941,2011-10-20 10:04:00
571677,2011-10-18 13:32:00
544896,2011-02-24 12:25:00
572326,2011-10-24 09:55:00
C563537,2011-08-17 11:40:00
C545529,2011-03-03 13:26:00
536809,2010-12-02 16:48:00
545056,2011-02-27 12:48:00
554264,2011-05-23 12:35:00
563507,2011-08-17 10:08:00
554138,2011-05-23 10:21:00
554281,2011-05-23 13:41:00
572327,2011-10-24 10:08:00
545645,2011-03-04 12:42:00
554488,2011-05-24 13:35:00
571905,2011-10-19 14:51:00
564034,2011-08-22 12:22:00
554627,2011-05-25 11:26:00
554272,2011-05-23 13:08:00
C554530,2011-05-24 17:28:00
571735,2011-10-19 10:04:00
563920,2011-08-21 14:00:00
544968,2011-02-25 11:30:00
537015,2010-12-03 15:41:00
536423,2010-12-01 12:08:00
537028,2010-12-03 16:36:00
563381,2011-08-16 10:48:00
536693,2010-12-02 12:26:00
545573,2011-03-03 16:58:00
563849,2011-08-19 15:04:00
572452,2011-10-24 12:36:00
571654,2011-10-18 12:17:00
572465,2011-10-24 13:26:00
563842,2011-08-19 13:54:00
536810,2010-12-02 16:50:00
545340,2011-03-02 08:41:00
555073,2011-05-31 11:39:00
563808,2011-08-19 11:46:00
537000,2010-12-03 15:32:00
572466,2011-10-24 13:28:00
572519,2011-10-24 14:56:00
571715,2011-10-18 17:04:00
536794,2010-12-02 15:40:00
554495,2011-05-24 14:18:00
536557,2010-12-01 14:41:00
554989,2011-05-29 13:50:00
563956,2011-08-22 11:03:00
C555253,2011-06-01 15:14:00
C555074,2011-05-31 11:44:00
C536807,2010-12-02 16:45:00
563662,2011-08-18 11:40:00
544913,2011-02-24 15:26:00
564017,2011-08-22 11:44:00
545153,2011-02-28 12:57:00
544893,2011-02-24 12:01:00
545042,2011-02-27 10:41:00
C572059,2011-10-20 12:45:00
571748,2011-10-19 11:13:00
572236,2011-10-21 14:42:00
564037,2011-08-22 12:26:00
563571,2011-08-17 14:58:00
C554150,2011-05-23 11:07:00
537212,2010-12-05 15:21:00
563685,2011-08-18 12:26:00
563720,2011-08-18 16:24:00
572127,2011-10-21 09:20:00
536837,2010-12-02 18:15:00
572517,2011-10-24 14:47:00
571474,2011-10-17 14:41:00
C554851,2011-05-27 09:17:00
545441,2011-03-02 16:17:00
563551,2011-08-17 13:04:00
544905,2011-02-24 13:54:00
536531,2010-12-01 13:23:00
563730,2011-08-18 17:43:00
545325,2011-03-01 15:01:00
563931,2011-08-21 15:49:00
544930,2011-02-24 18:26:00
571407,2011-10-17 12:16:00
571704,2011-10-18 15:15:00
545188,2011-02-28 15:19:00
554559,2011-05-25 10:28:00
571404,2011-10-17 12:04:00
C536543,2010-12-01 14:30:00
554944,2011-05-27 14:12:00
C545450,2011-03-02 16:46:00
571446,2011-10-17 13:46:00
563425,2011-08-16 11:37:00
572126,2011-10-21 09:04:00
536974,2010-12-03 13:59:00
555213,2011-06-01 12:22:00
536632,2010-12-02 11:02:00
544819,2011-02-23 17:15:00
554276,2011-05-23 13:19:00
571939,2011-10-20 09:40:00
536574,2010-12-01 15:46:00
571302,2011-10-17 09:07:00
536771,2010-12-02 14:49:00
C545510,2011-03-03 11:56:00
C554523,2011-05-24 17:17:00
C571619,2011-10-18 10:58:00
536591,2010-12-01 16:57:00
C545068,2011-02-27 15:07:00
563236,2011-08-15 09:45:00
563202,2011-08-14 11:16:00
C554690,2011-05-25 16:56:00
545165,2011-02-28 13:41:00
C571750,2011-10-19 11:16:00
572062,2011-10-20 12:57:00
571718,2011-10-18 17:29:00
536598,2010-12-02 07:48:00
555264,2011-06-01 16:03:00
C554931,2011-05-27 13:21:00
572279,2011-10-23 10:56:00
544825,2011-02-24 09:32:00
563937,2011-08-22 09:10:00
555201,2011-06-01 12:10:00
C571695,2011-10-18 14:46:00
536520,2010-12-01 12:43:00
554679,2011-05-25 16:04:00
545015,2011-02-25 13:40:00
572461,2011-10-24 12:56:00
564091,2011-08-23 09:57:00
554956,2011-05-27 15:17:00
536944,2010-12-03 12:20:00
536778,2010-12-02 15:03:00
572139,2011-10-21 10:19:00
C555255,2011-06-01 15:19:00
536533,2010-12-01 13:31:00
545074,2011-02-28 09:28:00
C572448,2011-10-24 12:28:00
564048,2011-08-22 13:20:00
563925,2011-08-21 14:42:00
554791,2011-05-26 12:12:00
536370,2010-12-01 08:45:00
572049,2011-10-20 12:21:00
571920,2011-10-19 16:16:00
537139,2010-12-05 12:47:00
564060,2011-08-22 14:37:00
554630,2011-05-25 11:34:00
545004,2011-02-25 12:48:00
545305,2011-03-01 12:58:00
545154,2011-02-28 13:09:00
571559,2011-10-18 09:32:00
563245,2011-08-15 10:53:00
563467,2011-08-16 14:55:00
545646,2011-03-04 12:42:00
545596,2011-03-04 10:49:00
536857,2010-12-03 10:33:00
545663,2011-03-04 14:52:00
572339,2011-10-24 10:32:00
564095,2011-08-23 10:31:00
C555105,2011-05-31 14:09:00
563233,2011-08-14 15:56:00
545226,2011-03-01 09:33:00
536409,2010-12-01 11:45:00
536376,2010-12-01 09:32:00
536988,2010-12-03 15:05:00
545636,2011-03-04 12:15:00
545459,2011-03-02 17:21:00
544824,2011-02-24 09:32:00
571737,2011-10-19 10:31:00
537019,2010-12-03 15:43:00
545300,2011-03-01 12:24:00
C555268,2011-06-01 16:17:00
554632,2011-05-25 11:41:00
545037,2011-02-27 10:02:00
563449,2011-08-16 14:28:00
554324,2011-05-23 15:38:00
536594,2010-12-01 17:22:00
555103,2011-05-31 13:58:00
C563224,2011-08-14 14:33:00
554857,2011-05-27 10:08:00
572272,2011-10-21 16:18:00
554928,2011-05-27 13:03:00
536756,2010-12-02 14:23:00
571944,2011-10-20 10:15:00
C563218,2011-08-14 14:15:00
545602,2011-03-04 11:49:00
545575,2011-03-03 18:28:00
544929,2011-02-24 18:14:00
563442,2011-08-16 13:25:00
537129,2010-12-05 12:15:00
572092,2011-10-20 14:41:00
554157,2011-05-23 11:33:00
554951,2011-05-27 14:48:00
572095,2011-10-20 15:15:00
544928,2011-02-24 18:07:00
554828,2011-05-26 15:21:00
563357,2011-08-15 14:50:00
564053,2011-08-22 13:42:00
554278,2011-05-23 13:25:00
571465,2011-10-17 14:29:00
554360,2011-05-24 09:59:00
C572187,2011-10-21 11:00:00
536813,2010-12-02 16:59:00
536688,2010-12-02 12:24:00
554844,2011-05-26 19:38:00
545559,2011-03-03 15:31:00
544915,2011-02-24 15:41:00
554860,2011-05-27 10:20:00
572058,2011-10-20 12:43:00
563230,2011-08-14 15:39:00
554116,2011-05-22 15:11:00
C544897,2011-02-24 12:27:00
545075,2011-02-28 09:33:00
563855,2011-08-19 15:29:00
