invoicelineid,quantity,unitprice
179,1,3.29
180,25,0.42
181,1,1.95
182,25,0.42
183,3,18
184,1,1.49
185,1,4.25
186,10,0.85
187,12,0.95
188,7,0.83
189,2,0.75
190,12,3.25
191,1,2.95
192,2,1.63
193,1,4.95
194,10,1.95
195,1,3.29
196,12,1.25
197,12,1.65
198,144,0.55
199,15,0.42
200,4,4.15
201,3,4.95
202,2,3.75
203,4,1.65
204,6,1.25
205,40,2.55
206,8,4.95
207,5,0.42
208,4,1.45
209,2,2.08
210,3,4.15
211,12,1.25
212,1,2.46
213,1,4.21
214,4,4.15
215,12,0.42
216,1,3.29
217,3,4.95
218,6,2.1
219,4,1.65
220,8,1.95
221,4,14.95
222,1,4.13
223,12,1.65
224,3,8.29
225,6,2.89
226,2,3.75
227,128,0.72
228,1,5.75
229,6,4.25
230,24,1.65
231,2,7.62
232,1,1.45
233,-1,1.45
234,4,2.46
235,10,2.08
236,2,5.95
237,-3,1.65
238,10,2.08
239,12,1.25
240,20,2.08
241,10,1.65
242,6,3.75
243,8,1.95
244,24,0.85
245,3,2.1
246,2,1.25
247,8,3.75
248,3,2.82
249,1,9.95
250,12,1.25
251,2,1.65
252,4,3.75
253,3,4.95
254,2,2.08
255,25,0.42
256,2,1.66
257,48,0.39
258,12,1.25
259,2,5.95
260,6,2.95
261,24,1.25
262,2,2.08
263,12,1.25
264,24,0.75
265,4,0.55
266,2,9.95
267,-24,1.25
268,1,0.42
269,10,2.08
270,1,10.95
271,12,1.65
272,10,1.25
273,4,1.69
274,28,0.21
275,1,7.62
276,8,1.95
277,6,3.75
278,1,3.29
279,1,4.13
280,1,1.63
281,12,1.25
282,4,0.39
283,1,4.13
284,9,1.65
285,14,0.83
286,12,1.45
287,12,0.42
288,1,8.29
289,3,4.95
290,40,2.55
291,5,3.29
292,1,2.95
293,6,2.55
294,12,1.65
295,2,0.85
296,6,2.95
297,6,1.25
298,40,2.55
299,16,10.95
300,10,1.95
301,2,7.95
302,2,9.95
303,1,9.95
304,24,1.95
305,5,1.65
306,12,2.89
307,6,1.65
308,4,1.95
309,2,2.46
310,4,4.15
311,552,3.24
312,8,1.69
313,1,8.5
314,24,0.55
315,25,0.42
316,1,16.95
317,12,1.25
318,12,1.45
319,2,4.13
320,24,2.95
321,1,5.45
322,16,1.25
323,2,9.95
324,12,1.25
325,2,1.25
326,6,2.95
327,12,1.25
328,6,2.46
329,10,2.08
330,12,1.65
331,6,4.96
332,1,2.46
333,4,3.75
334,1,16.65
335,8,2.1
336,8,2.13
337,2,8.25
338,2,2.1
339,25,0.42
340,12,0.95
341,288,1.45
342,10,1.95
343,24,0.42
344,8,0.85
345,48,0.85
346,4,6.95
347,1,2.95
348,3,7.95
349,10,2.08
350,4,3.95
351,10,1.65
352,1,5.79
353,1,1.65
354,10,2.08
355,1,4.21
356,2,7.95
357,1,9.95
358,12,0.65
359,2,7.95
360,2,7.95
361,5,1.63
362,1,0.42
363,-1,4.95
364,1,1.69
365,3,24.96
366,4,4.15
367,4,5.75
368,12,2.55
369,24,0.85
370,2,2.08
371,1,4.95
372,1,0.42
373,2,1.45
374,24,0.29
375,4,1.25
376,2,12.75
377,1,1.25
378,24,0.39
379,1,0.95
380,18,5.95
381,24,0.42
382,1,1.63
383,2,1.95
384,6,2.08
385,3,1.65
386,12,0.42
387,4,2.95
388,3,2.08
389,1,0.42
390,12,0.85
391,12,0.85
392,6,2.95
393,1,0.29
394,25,0.42
395,1,5.09
396,4,4.25
397,18,1.45
398,3,6.63
399,1,0.42
400,1,2.1
401,2,8.5
402,24,0.12
403,40,2.55
404,36,1.65
405,12,4.15
406,12,1.25
407,2,8.5
408,8,1.95
409,4,8.5
410,10,2.95
411,5,1.65
412,8,1.69
413,48,0.55
414,4,3.75
415,12,1.65
416,3,1.65
417,1,15.95
418,1,1.63
419,6,0.85
420,12,1.25
421,24,0.83
422,12,2.95
423,1,2.95
424,1,4.13
425,6,2.1
426,25,0.42
427,3,5.45
428,1,3.75
429,1,2.46
430,1,3.95
431,12,1.95
432,6,1.95
433,6,0.85
434,7,0.85
435,10,1.25
436,1,1.25
437,12,0.85
438,2,1.25
439,12,2.08
440,12,4.15
441,2,3.75
442,2,1.65
443,30,0.21
444,4,2.08
445,1,3.95
446,72,3.39
447,5,2.1
448,2,4.13
449,1,1.95
450,1,11.02
451,2,1.63
452,12,2.08
453,2,1.65
454,6,2.95
455,3,2.08
456,6,0.29
457,12,1.65
458,-5,0.85
459,-1,4.95
460,6,1.95
461,4,0.42
462,5,2.95
463,5,2.1
464,12,0.85
465,48,0.72
466,2,5.95
467,1,2.1
468,12,1.95
469,2,1.95
470,6,3.75
471,12,2.55
472,1,2.08
473,1,1.25
474,6,4.25
475,4,6.95
476,30,1.65
477,5,4.95
478,2,2.95
479,1,7.46
480,2,4.95
481,1,4.21
482,6,2.95
483,1,0.42
484,32,2.55
485,24,2.55
486,1,2.1
487,1,4.95
488,8,1.95
489,2,0.85
490,1,2.1
491,2,1.45
492,144,1.45
493,2,14.95
494,8,5.95
495,1,0.85
496,6,3.25
497,4,5.95
498,100,1.79
499,3,2.95
500,3,0.42
501,24,0.42
502,1,40
503,3,4.95
504,4,3.95
505,6,1.95
506,20,2.89
507,25,0.42
508,2,3.75
509,10,2.1
510,2,9.95
511,6,4.25
512,24,0.12
513,36,0.39
514,6,2.95
515,1,4.13
516,2,1.95
517,1,1.65
518,2,1.65
519,1,3.75
520,1,4.13
521,3,5.45
522,12,0.85
523,24,0.39
524,7,4.96
525,1,10.79
526,10,6.75
527,6,2.95
528,12,1.45
529,12,0.42
530,144,1.06
531,1,4.13
532,12,0.85
533,20,1.65
534,2,4.13
535,1,12.5
536,10,1.65
537,24,4.25
538,8,2.89
539,1,24.96
540,10,0.85
541,4,3.75
542,4,3.29
543,2,2.46
544,12,0.65
545,20,2.08
546,1,4.96
547,24,0.29
548,2,9.95
549,2,5.95
550,2,0.85
551,48,3.39
552,2,1.65
553,12,1.69
554,2,2.95
555,120,1.45
556,12,1.65
557,1,4.95
558,2,6.75
559,18,0.42
560,8,4.15
561,24,0.55
562,40,2.55
563,2,2.46
564,6,1.25
565,10,0.85
566,4,2.89
567,1,1.25
568,2,10.95
569,1,1.65
570,1,743.62
571,10,2.08
572,72,0.21
573,7,1.25
574,6,2.1
575,24,1.25
576,1,4.13
577,6,2.55
578,12,1.25
579,6,2.1
580,4,0.42
581,2,8.25
582,1,0.42
583,1,4.65
584,3,4.95
585,2,0.39
586,10,0.85
587,10,1.65
588,8,1.95
589,3,1.25
590,12,0.42
591,25,0.42
592,2,40
593,18,1.25
594,2,1.95
595,1,2.95
596,1,16.98
597,12,2.95
598,24,0.55
599,5,4.95
600,4,3.75
601,2,10.95
602,4,4.15
603,1,3.75
604,4,4.25
605,1,4.95
606,3,4.15
607,8,2.95
608,5,3.36
609,2,0.85
610,6,3.75
611,3,3.75
612,2,4.25
613,1,4.65
614,3,2.1
615,4,5.45
616,5,1.65
617,12,1.65
618,1,15.79
619,20,0.42
620,4,0.85
621,1,1.25
622,-6,2.95
623,1,4.25
624,12,0.85
625,1,2.08
626,10,1.25
627,6,2.51
628,12,0.83
629,24,1.25
630,2,12.75
631,10,1.65
632,1,2.46
633,4,1.65
634,6,2.1
635,24,0.55
636,12,2.1
637,4,4.95
638,1,3.36
639,10,1.65
640,1,14.95
641,2,8.5
642,1,4.13
643,12,0.85
644,24,0.29
645,24,0.83
646,1,8.47
647,24,1.65
648,8,8.5
649,1,1.63
650,1,6.95
651,6,4.95
652,10,6.75
653,6,2.95
654,1,3.29
655,3,0.83
656,1,2.55
657,3,3.95
658,2,3.95
659,10,1.95
660,12,0.85
661,1,1.25
662,6,2.55
663,1,2.89
664,8,0.42
665,1,155.25
666,16,1.25
667,12,0.42
668,10,2.08
669,10,1.65
670,8,0.42
671,7,0.42
672,2,4.13
673,12,0.85
674,12,1.25
675,96,0.72
676,10,8.47
677,2,1.63
678,2,1.25
679,1,4.13
680,8,1.69
681,8,0.85
682,4,2.1
683,1,0.65
684,1,2.46
685,12,1.65
686,12,0.65
687,3,1.45
688,3,8.29
689,12,0.85
690,32,0.85
691,1,4.13
692,1,5.95
693,12,2.95
694,1,4.25
695,1,17.1
696,1,4.25
697,1,4.95
698,12,0.59
699,24,0.42
700,1,4.95
701,240,0.29
702,30,0.1
703,4,0.42
704,12,1.69
705,12,1.25
706,2,1.65
707,10,2.08
708,3,3.75
709,6,2.75
710,4,8.5
711,1,1.25
712,192,0.19
713,7,1.65
714,2,4.13
715,1,6.95
716,20,2.95
717,3,4.95
718,8,1.45
719,1,1.65
720,1,2.95
721,72,0.39
722,1,19.96
723,1,16.63
724,1,5.79
725,120,2.1
726,4,3.75
727,3,2.1
728,1,2.46
729,1,2.95
730,2,14.95
731,2,5.75
732,1,20.79
733,4,0.83
734,1,2.95
735,2,1.25
736,6,0.85
737,1,0.83
738,1,3.75
739,1,172.62
740,3,6.95
741,3,2.95
742,12,0.42
743,2,1.25
744,6,2.55
745,3,2.08
746,1,4.25
747,4,5.95
748,4,8.95
749,8,1.65
750,6,1.25
751,12,2.1
752,3,2.55
753,1,15.95
754,25,0.42
755,12,1.25
756,1,6.75
757,1,0
758,96,0.12
759,4,0.42
760,1,2.1
761,6,2.55
762,-1,2.95
763,6,2.95
764,1,1.25
765,3,2.46
766,10,2.08
767,10,0.85
768,3,4.95
769,4,4.25
770,1,4.95
771,1,1.65
772,10,0.19
773,4,1.25
774,1,1.95
775,12,2.1
776,-100,0.72
777,48,0.85
778,1,5.95
779,2,2.1
780,12,1.25
781,3,9.96
782,4,1.65
783,1,2.46
784,2,2.95
785,48,0.39
786,24,0.55
787,4,2.95
788,-100,0.72
789,2,7.95
790,12,1.25
791,20,1.65
792,2,2.95
793,2,3.29
794,1,1.45
795,6,2.95
796,6,2.95
797,2,1.63
798,12,0.85
799,1,2.95
800,12,2.95
801,3,1.25
802,20,1.25
803,10,0.79
804,2,6.35
805,1,3.75
806,5,2.51
807,12,0.39
808,1,4.13
809,3,1.45
810,10,2.08
811,12,2.95
812,1,1.65
813,1,0.83
814,3,1.66
815,2,3.75
816,6,2.55
817,1,2.08
818,36,0.85
819,2,8.25
820,4,2.55
821,12,0.83
822,2,2.08
823,10,1.65
824,1,2.1
825,20,0.42
826,1,2.95
827,12,1.95
828,400,0.36
829,1,4.25
830,288,1.25
831,12,1.45
832,4,4.25
833,64,1.65
834,2,5.45
835,4,4.15
836,6,2.1
837,1,5.95
838,1,8.5
839,25,0.42
840,1,4.95
841,1,8.29
842,4,4.15
843,1,1.45
844,1,0.83
845,1,2.46
846,8,6.25
847,2,12.75
848,1,4.21
849,2,1.25
850,10,2.08
851,4,3.75
852,12,0.29
853,7,1.63
854,1,15.79
855,1,8.29
856,2,35.75
857,12,2.1
858,3,10.95
859,2,2.1
860,2,0.65
861,6,2.95
862,12,0.95
863,6,2.1
864,24,0.39
865,12,0.39
866,6,7.95
867,2,6.95
868,2,1.25
869,36,1.85
870,216,0.72
871,30,8.5
872,2,1.25
873,48,0.39
874,2,6.25
875,16,1.25
876,2,12.5
877,2,1.63
878,3,1.65
879,10,1.65
880,10,1.65
881,3,0.29
882,1,2.9
883,24,0.29
884,1,0.85
885,-10,41.75
886,2,4.21
887,8,2.25
888,3,1.63
889,3,2.08
890,6,3.75
891,2,7.95
892,2,4.13
893,1,4.13
894,3,15.79
895,6,4.25
896,10,0.85
897,24,1.25
898,1,1.25
899,12,1.25
900,8,3.75
901,50,0.34
902,12,0.65
903,48,0.29
904,2,7.95
905,12,1.45
906,1,0.55
907,10,1.65
908,1,6.35
909,3,2.1
910,8,1.25
911,1,0.83
912,1,1.66
913,5,0.42
914,1,0.42
915,2,6.35
916,2,2.08
917,1,5.95
918,20,1.65
919,6,5.95
920,2,1.95
921,-48,4.15
922,1,18
923,12,1.65
924,3,3.95
925,1,4.95
926,48,1.06
927,1,1.63
928,7,2.95
929,6,1.25
930,2,5.79
931,1,1.65
932,4,3.75
933,6,12.75
934,24,0.42
935,10,2.08
936,1,4.25
937,-4,2.25
938,36,0.42
939,2,8.25
940,12,1.65
941,6,3.75
942,2,1.25
943,2,0.83
944,36,0.42
945,9,1.65
946,6,2.95
947,1,12.75
948,3,8.25
949,8,1.65
950,1,4.95
951,6,3.29
952,2,16.13
953,1,3.25
954,1,5.75
955,2,2.08
956,7,2.95
957,12,1.45
958,1,10.4
959,25,0.42
960,1,1.63
961,6,3.75
962,2,1.25
963,10,6.75
964,4,0.39
965,-1,1.45
966,12,1.25
967,2,1.65
968,1,3.36
969,1,1.65
970,12,0.65
971,5,2.95
972,12,1.95
973,4,4.15
974,12,1.65
975,10,1.65
976,8,1.95
977,24,0.55
978,5,5.79
979,36,0.85
980,12,1.25
981,1,0.85
982,2,8.25
983,1,4.95
984,1,4.13
985,24,0.19
986,48,0.21
987,25,0.42
988,2,9.95
989,11,4.13
990,12,1.25
991,6,1.25
992,12,1.25
993,1,1.25
994,12,1.25
995,48,0.06
996,2,0.42
997,4,1.95
998,25,0.42
999,12,2.95
1000,2,5.45
1001,2,4.21
1002,28,0.21
1003,10,1.25
1004,2,6.75
1005,2,5.79
1006,8,0.83
1007,2,1.63
1008,8,2.55
1009,10,2.08
1010,12,2.1
1011,13,2.95
1012,12,1.65
1013,5,2.1
1014,25,0.42
1015,24,0.18
1016,3,0.83
1017,2,6.95
1018,3,6.75
1019,4,4.95
1020,1,5.79
1021,25,0.42
1022,12,0.83
1023,2,6.75
1024,6,1.65
1025,2,0.85
1026,6,2.95
1027,1,4.95
1028,1,0.83
1029,2,8.25
1030,1,4.13
1031,4,1.65
1032,12,0.85
1033,1,2.46
1034,4,2.1
1035,2,8.5
1036,96,0.85
1037,2,3.75
1038,8,2.1
1039,5,4.25
1040,2,2.55
1041,96,7.65
1042,2,5.95
1043,1,2.46
1044,25,0.42
1045,24,0.65
1046,3,6.75
1047,2,8.25
1048,1,3.29
1049,12,1.65
1050,6,2.95
1051,12,0.65
1052,-3,2.95
1053,4,1.28
1054,1,3.75
1055,2,8.47
1056,1,5.95
1057,20,2.08
1058,72,0.64
1059,6,2.89
1060,1,2.1
1061,1,1.65
1062,3,1.45
1063,4,4.25
1064,12,0.3
1065,2,2.25
1066,24,0.39
1067,1,1.25
1068,4,1.69
1069,12,1.25
1070,48,0.63
1071,1,4.25
1072,2,4.95
1073,1,16.95
1074,1,16.98
1075,100,30.12
1076,12,2.1
1077,3,2.08
1078,20,1.95
1079,5,4.95
1080,10,1.25
1081,4,2.08
1082,48,0.36
1083,2,9.95
1084,12,1.45
1085,12,1.65
1086,12,1.45
1087,3,2.49
1088,1,7.46
1089,1,2.46
1090,1,4.13
1091,2,4.13
1092,2,2.1
1093,6,0.85
1094,96,0.72
1095,12,1.25
1096,2,0.83
1097,4,4.95
1098,8,2.5
1099,48,0.55
1100,2,3.45
1101,-6,0
1102,4,3.29
1103,2,1.95
1104,15,0.42
1105,12,1.45
1106,10,2.08
1107,10,1.65
1108,6,0.85
1109,1,3.25
1110,2880,0.18
1111,12,1.65
1112,12,1.65
1113,1,0.39
1114,6,2.95
1115,36,1.04
1116,8,0.85
1117,4,4.25
1118,6,3.75
1119,24,1.25
1120,32,10.95
1121,2,5.95
1122,1,1.63
1123,12,1.25
1124,12,2.95
1125,1,1.28
1126,4,6.63
1127,10,2.1
1128,3,0.55
1129,-20,4.65
1130,1,2.46
1131,1,2.51
1132,12,0.42
1133,1,1.25
1134,24,1.25
1135,6,2.55
1136,3,1.25
1137,6,1.65
1138,24,0.39
1139,3,4.95
1140,6,1.25
1141,12,0.85
1142,7,7.62
1143,1,12.75
1144,2,0.85
1145,4,4.25
1146,24,0.55
1147,24,0.65
1148,16,0.39
1149,1,0.85
1150,1,3.75
1151,3,2.08
1152,3,2.1
1153,2,1.69
1154,1,1.25
1155,2,2.46
1156,1,4.13
1157,12,1.25
1158,2,1.65
1159,12,4.25
1160,6,2.95
1161,4,1.65
1162,1,8.29
1163,10,2.08
1164,2,4.95
1165,3,1.65
1166,6,4.15
1167,3,0.85
1168,12,2.1
1169,10,1.65
1170,5,1.63
1171,12,0.83
1172,3,1.65
1173,12,0.83
1174,48,0.83
1175,12,1.25
1176,1,4.25
1177,3,2.08
1178,1,1.25
1179,20,0.72
1180,24,0.39
1181,6,2.1
1182,12,2.1
1183,6,1.65
1184,6,2.55
1185,100,1.65
1186,3,2.08
1187,12,1.25
1188,6,2.95
1189,1,0.85
1190,1,162.67
1191,144,1.04
1192,1,1.25
1193,8,1.69
1194,10,1.95
1195,16,0.85
1196,24,0.65
1197,4,1.65
1198,10,2.08
1199,1,7.95
1200,1,8.29
1201,2,0.65
1202,4,4.15
1203,1,0.42
1204,1,0.39
1205,4,0.85
1206,2,0.39
1207,48,0.29
1208,1,2.1
1209,12,1.65
1210,1,1.25
1211,10,2.08
1212,1,2.1
1213,1,7.95
1214,1,4.21
1215,25,0.42
1216,10,2.08
1217,3,1.25
1218,48,0.39
1219,20,1.25
1220,3,4.95
1221,1,15.79
1222,1,3.29
1223,2,9.95
1224,1,0.83
1225,12,0.55
1226,12,4.95
1227,1,0.65
1228,12,3.75
1229,6,2.1
1230,1,9.98
1231,3,4.95
1232,2,2.95
1233,3,2.08
1234,1,1.25
1235,12,1.25
1236,24,1.25
1237,-4,1.25
1238,1,2.46
1239,2,1.25
1240,144,1.06
1241,4,5.95
1242,1,2.46
1243,1,1.63
1244,1,1.65
1245,5,2.1
1246,2,9.95
1247,12,0.42
1248,25,0.42
1249,3,4.95
1250,2,1.65
1251,24,0.55
1252,2,1.65
1253,4,4.95
1254,2,1.95
1255,6,2.1
1256,10,0.85
1257,1,1.95
1258,2,4.95
1259,24,0.55
1260,1,5.95
1261,6,4.25
1262,24,1.25
1263,24,0.12
1264,1,8.25
1265,1,1.25
1266,-1,16.95
1267,1,13.57
1268,1,7.46
1269,4,4.95
1270,6,2.95
1271,9,0.83
1272,12,0.42
1273,1,14.95
1274,24,1.25
1275,3,2.46
1276,2,0.55
1277,1,3.75
1278,2,1.95
1279,1,12.75
1280,1,1.65
1281,-10,1.65
1282,24,0.65
1283,1,8.47
1284,48,0.42
1285,1,2.95
1286,2,9.95
1287,1,4.21
1288,10,2.08
1289,1,8.29
1290,10,1.25
1291,1,2.46
1292,1,4.95
1293,3,4.25
1294,4,8.29
1295,2,9.95
1296,3,0.83
1297,6,3.29
1298,1,6.95
1299,24,0.55
1300,2,9.95
1301,6,2.46
1302,2,1.63
1303,2,6.25
1304,1,1.25
1305,2,7.95
1306,5,4.96
1307,6,1.25
1308,1,1.25
1309,8,2.95
1310,360,0.42
1311,2,1.95
1312,24,0.12
1313,1,1.95
1314,2,4.95
1315,1,1.25
1316,24,0.55
1317,1,4.96
1318,1,2.95
1319,1,2.1
1320,6,2.95
1321,1,148.75
1322,3,1.69
1323,1,11.02
1324,48,0.79
1325,25,0.42
1326,10,1.65
1327,10,1.25
1328,1,3.75
1329,3,2.1
1330,12,1.65
1331,1,1.63
1332,2,5.95
1333,12,2.1
1334,2,2.1
1335,1,0.42
1336,12,0.65
1337,2,5.45
1338,10,0.85
1339,24,1.65
1340,12,1.25
1341,1,4.25
1342,6,1.45
1343,1,1.95
1344,1,5.95
1345,12,0.85
1346,6,0.55
1347,12,1.25
1348,12,2.1
1349,8,3.75
1350,1,3.29
1351,3,2.95
1352,1,0.85
1353,1,2.08
1354,12,1.25
1355,2,1.25
1356,1,0.83
1357,12,1.25
1358,12,1.25
1359,1,7.95
1360,12,0.83
1361,1,176.48
1362,6,2.55
1363,12,1.65
1364,12,0.85
1365,12,1.45
1366,1,1.95
1367,3,4.13
1368,12,1.95
1369,2,3.29
1370,1,1.63
1371,9,5.79
1372,12,0.43
1373,1,2.1
1374,3,2.89
1375,12,1.25
1376,24,4.15
1377,96,0.42
1378,72,3.75
1379,1,3.75
1380,6,2.1
1381,11,2.55
1382,5,1.25
1383,1,4.95
1384,2,0.42
1385,1,2.08
1386,1,2.55
1387,1,0.83
1388,1,8.47
1389,1,0.83
1390,12,2.55
1391,8,3.36
1392,4,3.36
1393,4,5.91
1394,24,0.79
1395,-2,4.95
1396,1,2.1
1397,24,2.95
1398,12,10.95
1399,4,4.25
1400,3,4.13
1401,25,0.42
1402,-24,2.55
1403,5,1.65
1404,4,4.95
1405,1,4.96
1406,1,4.13
1407,1,3.29
1408,2,0.83
1409,36,0.85
1410,2,9.95
1411,24,1.25
1412,12,0.42
1413,3,8.47
1414,1,9.95
1415,11,1.65
1416,2,12.75
1417,2,4.13
1418,12,1.65
1419,5,5.95
1420,12,3.39
1421,10,3.29
1422,3,0.85
1423,4,2.08
1424,6,2.55
1425,1,1.25
1426,48,1.45
1427,1,3.81
1428,1,0.42
1429,6,3.39
1430,3,4.13
1431,1,4.21
1432,10,2.08
1433,3,0.83
1434,25,0.42
1435,12,1.65
1436,2,8.5
1437,6,2.49
1438,10,0.85
1439,10,2.08
1440,32,1.65
1441,2,8.29
1442,5,1.65
1443,1,4.13
1444,1,1.63
1445,2,3.29
1446,24,0.42
1447,6,2.95
1448,2,2.1
1449,10,2.1
1450,1,4.96
1451,12,1.25
1452,12,0.65
1453,6,2.55
1454,4,1.65
1455,2,5.91
1456,-1,14.95
1457,6,2.95
1458,2,7.95
1459,3,4.13
1460,2,16.65
1461,12,1.25
1462,12,1.65
1463,2,1.25
1464,1,2.46
1465,20,1.65
1466,-1,1.95
1467,1,3.29
1468,32,2.55
1469,1,3.36
1470,3,0.55
1471,12,0.42
1472,4,3.75
1473,250,0.34
1474,2,41.63
1475,10,1.95
1476,1,3.75
1477,1,7.95
1478,4,0.19
1479,2,2.95
1480,1,0.59
1481,5,1.65
1482,1,2.08
1483,1,0.39
1484,10,2.08
1485,6,2.95
1486,12,1.45
1487,1,3.75
1488,12,0.42
1489,6,2.95
1490,10,6.75
1491,60,0.21
1492,8,2.49
1493,2,2.1
1494,10,1.65
1495,10,2.08
1496,12,4.25
1497,1,2.46
1498,10,1.65
1499,48,1.45
1500,6,2.55
1501,48,1.65
1502,2,0.65
1503,1,2.46
1504,2,9.95
1505,20,1.65
1506,1,0.42
1507,8,1.95
1508,12,1.65
1509,4,3.45
1510,12,0.85
1511,288,1.06
1512,97,2.51
1513,4,5.45
1514,1,2.95
1515,2,1.65
1516,1,29.17
1517,1,1.25
1518,1,5.45
1519,10,1.65
1520,48,3.39
1521,2,4.95
1522,1,1.65
1523,16,1.25
1524,3,1.65
1525,24,1.25
1526,1,2.46
1527,2,0.39
1528,24,1.65
1529,10,2.08
1530,12,0.85
1531,12,1.25
1532,1,2.46
1533,2,8.5
1534,1,4.95
1535,12,0.42
1536,1,7.95
1537,6,1.45
1538,3,1.63
1539,6,2.46
1540,2,2.95
1541,1,3.75
1542,1,1.25
1543,2,1.63
1544,12,0.83
1545,2,2.95
1546,1,12.46
1547,14,0.85
1548,1,5.79
1549,6,2.95
1550,30,1.25
1551,-2,2.95
1552,10,1.25
1553,1,4.96
1554,2,1.25
1555,3,1.25
1556,1,3.75
1557,2,3.75
1558,3,2.95
1559,4,3.75
1560,6,7.95
1561,1,1.25
1562,1,14.95
1563,4,3.75
1564,3,2.46
1565,6,1.65
1566,-1,5.95
1567,12,1.25
1568,1,4.95
1569,4,2.55
1570,24,0.39
1571,1,24.96
1572,1,2.92
1573,28,0.21
1574,6,1.65
1575,12,1.65
1576,2,4.13
1577,2,2.1
1578,1,12.75
1579,2,5.45
1580,3,2.1
1581,12,0.95
1582,2,1.25
1583,12,1.25
1584,12,2.1
1585,10,1.95
1586,4,4.13
1587,2,0.85
1588,5,0.42
1589,4,4.95
1590,3,4.95
1591,24,1.45
1592,3,4.95
1593,2,3.29
1594,12,1.95
1595,6,1.95
1596,3,1.65
1597,5,1.65
1598,6,2.1
1599,1,3.75
1600,4,4.95
1601,2,12.75
1602,1,8.29
1603,4,4.95
1604,6,2.49
1605,6,2.1
1606,1,12.75
1607,4,1.25
1608,1,4.95
1609,5,0.85
1610,1,1.95
1611,3,2.08
1612,3,0.42
1613,2,2.1
1614,2,1.45
1615,12,1.69
1616,12,2.55
1617,12,1.65
1618,1,4.13
1619,12,1.95
1620,20,0.85
1621,3,7.95
1622,2,4.95
1623,12,1.45
1624,1,2.55
1625,25,0.42
1626,1,1.25
1627,2,1.63
1628,1,1.46
1629,2,0.85
1630,1,1.45
1631,2,7.95
1632,1,3.75
1633,6,2.1
1634,2,10.75
1635,1,1.25
1636,1,6.63
1637,24,0.39
1638,6,1.25
1639,6,6.25
1640,5,0.75
1641,824,1.06
1642,1,5.75
1643,1,8.29
1644,12,1.45
1645,1,8.5
1646,12,1.95
1647,1,2.95
1648,12,1.65
1649,12,8.29
1650,1,12.5
1651,12,1.25
1652,10,1.65
1653,6,4.95
1654,2,7.95
1655,20,2.55
1656,6,1.06
1657,25,0.42
1658,1,5.45
1659,3,1.25
1660,5,4.15
1661,2,4.13
